class10,name,enName,office,officeName,center
011000,宗谷地方,Soya Region,011000,稚内地方気象台,010100
012010,上川地方,Kamikawa Region,012000,旭川地方気象台,010100
012020,留萌地方,Rumoi Region,012000,旭川地方気象台,010100
013010,網走地方,Abashiri Region,013000,網走地方気象台,010100
013020,北見地方,Kitami Region,013000,網走地方気象台,010100
013030,紋別地方,Mombetsu Region,013000,網走地方気象台,010100
014010,根室地方,Nemuro Region,014100,釧路地方気象台,010100
014020,釧路地方,Kushiro Region,014100,釧路地方気象台,010100
014030,十勝地方,Tokachi Region,014030,帯広測候所,010100
015010,胆振地方,Iburi Region,015000,室蘭地方気象台,010100
015020,日高地方,Hidaka Region,015000,室蘭地方気象台,010100
016010,石狩地方,Ishikari Region,016000,札幌管区気象台,010100
016020,空知地方,Sorachi Region,016000,札幌管区気象台,010100
016030,後志地方,Shiribeshi Region,016000,札幌管区気象台,010100
017010,渡島地方,Oshima Region,017000,函館地方気象台,010100
017020,檜山地方,Hiyama Region,017000,函館地方気象台,010100
020010,津軽,Tsugaru,020000,青森地方気象台,010200
020020,下北,Shimokita,020000,青森地方気象台,010200
020030,三八上北,Sanpachi Kamikita,020000,青森地方気象台,010200
030010,内陸,Inland,030000,盛岡地方気象台,010200
030020,沿岸北部,Northern Coast,030000,盛岡地方気象台,010200
030030,沿岸南部,Southern Coast,030000,盛岡地方気象台,010200
040010,東部,Eastern Region,040000,仙台管区気象台,010200
040020,西部,Western Region,040000,仙台管区気象台,010200
050010,沿岸,Coast,050000,秋田地方気象台,010200
050020,内陸,Inland,050000,秋田地方気象台,010200
060010,村山,Murayama,060000,山形地方気象台,010200
060020,置賜,Okitama,060000,山形地方気象台,010200
060030,庄内,Shonai,060000,山形地方気象台,010200
060040,最上,Mogami,060000,山形地方気象台,010200
070010,中通り,Nakadori,070000,福島地方気象台,010200
070020,浜通り,Hamadori,070000,福島地方気象台,010200
070030,会津,Aizu,070000,福島地方気象台,010200
080010,北部,Northern Region,080000,水戸地方気象台,010300
080020,南部,Southern Region,080000,水戸地方気象台,010300
090010,南部,Southern Region,090000,宇都宮地方気象台,010300
090020,北部,Northern Region,090000,宇都宮地方気象台,010300
100010,南部,Southern Region,100000,前橋地方気象台,010300
100020,北部,Northern Region,100000,前橋地方気象台,010300
110010,南部,Southern Region,110000,熊谷地方気象台,010300
110020,北部,Northern Region,110000,熊谷地方気象台,010300
110030,秩父地方,Chichibu Region,110000,熊谷地方気象台,010300
120010,北西部,North-western Region,120000,銚子地方気象台,010300
120020,北東部,North-eastern Region,120000,銚子地方気象台,010300
120030,南部,Southern Region,120000,銚子地方気象台,010300
130010,東京地方,Tokyo Region,130000,気象庁,010300
130020,伊豆諸島北部,Northern Izu Islands,130000,気象庁,010300
130030,伊豆諸島南部,Southern Izu Islands,130000,気象庁,010300
130040,小笠原諸島,Ogasawara Islands,130000,気象庁,010300
140010,東部,Eastern Region,140000,横浜地方気象台,010300
140020,西部,Western Region,140000,横浜地方気象台,010300
150010,下越,Kaetsu,150000,新潟地方気象台,010500
150020,中越,Chuetsu,150000,新潟地方気象台,010500
150030,上越,Joetsu,150000,新潟地方気象台,010500
150040,佐渡,Sado,150000,新潟地方気象台,010500
160010,東部,Eastern Region,160000,富山地方気象台,010500
160020,西部,Western Region,160000,富山地方気象台,010500
170010,加賀,Kaga,170000,金沢地方気象台,010500
170020,能登,Noto,170000,金沢地方気象台,010500
180010,嶺北,Reihoku,180000,福井地方気象台,010500
180020,嶺南,Reinan,180000,福井地方気象台,010500
190010,中・西部,Central Western Region,190000,甲府地方気象台,010300
190020,東部・富士五湖,Eastern Region and Fuji Five Lakes,190000,甲府地方気象台,010300
200010,北部,Northern Region,200000,長野地方気象台,010300
200020,中部,Central Region,200000,長野地方気象台,010300
200030,南部,Southern Region,200000,長野地方気象台,010300
210010,美濃地方,Mino Region,210000,岐阜地方気象台,010400
210020,飛騨地方,Hida Region,210000,岐阜地方気象台,010400
220010,中部,Central Region,220000,静岡地方気象台,010400
220020,伊豆,Izu,220000,静岡地方気象台,010400
220030,東部,Eastern Region,220000,静岡地方気象台,010400
220040,西部,Western Region,220000,静岡地方気象台,010400
230010,西部,Western Region,230000,名古屋地方気象台,010400
230020,東部,Eastern Region,230000,名古屋地方気象台,010400
240010,北中部,Northern Central Region,240000,津地方気象台,010400
240020,南部,Southern Region,240000,津地方気象台,010400
250010,南部,Southern Region,250000,彦根地方気象台,010600
250020,北部,Northern Region,250000,彦根地方気象台,010600
260010,南部,Southern Region,260000,京都地方気象台,010600
260020,北部,Northern Region,260000,京都地方気象台,010600
270000,大阪府,Osaka Prefecture,270000,大阪管区気象台,010600
280010,南部,Southern Region,280000,神戸地方気象台,010600
280020,北部,Northern Region,280000,神戸地方気象台,010600
290010,北部,Northern Region,290000,奈良地方気象台,010600
290020,南部,Southern Region,290000,奈良地方気象台,010600
300010,北部,Northern Region,300000,和歌山地方気象台,010600
300020,南部,Southern Region,300000,和歌山地方気象台,010600
310010,東部,Eastern Region,310000,鳥取地方気象台,010700
310020,中・西部,Central Western Region,310000,鳥取地方気象台,010700
320010,東部,Eastern Region,320000,松江地方気象台,010700
320020,西部,Western Region,320000,松江地方気象台,010700
320030,隠岐,Oki,320000,松江地方気象台,010700
330010,南部,Southern Region,330000,岡山地方気象台,010700
330020,北部,Northern Region,330000,岡山地方気象台,010700
340010,南部,Southern Region,340000,広島地方気象台,010700
340020,北部,Northern Region,340000,広島地方気象台,010700
350010,西部,Western Region,350000,下関地方気象台,010900
350020,中部,Central Region,350000,下関地方気象台,010900
350030,東部,Eastern Region,350000,下関地方気象台,010900
350040,北部,Northern Region,350000,下関地方気象台,010900
360010,北部,Northern Region,360000,徳島地方気象台,010800
360020,南部,Southern Region,360000,徳島地方気象台,010800
370000,香川県,Kagawa Prefecture,370000,高松地方気象台,010800
380010,中予,Chuyo,380000,松山地方気象台,010800
380020,東予,Toyo,380000,松山地方気象台,010800
380030,南予,Nan-yo,380000,松山地方気象台,010800
390010,中部,Central Region,390000,高知地方気象台,010800
390020,東部,Eastern Region,390000,高知地方気象台,010800
390030,西部,Western Region,390000,高知地方気象台,010800
400010,福岡地方,Fukuoka Region,400000,福岡管区気象台,010900
400020,北九州地方,Kitakyushu Region,400000,福岡管区気象台,010900
400030,筑豊地方,Chikuho Region,400000,福岡管区気象台,010900
400040,筑後地方,Chikugo Region,400000,福岡管区気象台,010900
410010,南部,Southern Region,410000,佐賀地方気象台,010900
410020,北部,Northern Region,410000,佐賀地方気象台,010900
420010,南部,Southern Region,420000,長崎地方気象台,010900
420020,北部,Northern Region,420000,長崎地方気象台,010900
420030,壱岐・対馬,Iki Tsushima,420000,長崎地方気象台,010900
420040,五島,Goto,420000,長崎地方気象台,010900
430010,熊本地方,Kumamoto Region,430000,熊本地方気象台,010900
430020,阿蘇地方,Aso Region,430000,熊本地方気象台,010900
430030,天草・芦北地方,Amakusa Ashikita Region,430000,熊本地方気象台,010900
430040,球磨地方,Kuma Region,430000,熊本地方気象台,010900
440010,中部,Central Region,440000,大分地方気象台,010900
440020,北部,Northern Region,440000,大分地方気象台,010900
440030,西部,Western Region,440000,大分地方気象台,010900
440040,南部,Southern Region,440000,大分地方気象台,010900
450010,南部平野部,Plain Area of Southern Region,450000,宮崎地方気象台,011000
450020,北部平野部,Plain Area of Northern Region,450000,宮崎地方気象台,011000
450030,南部山沿い,Area along mountains of Southern Region,450000,宮崎地方気象台,011000
450040,北部山沿い,Area along mountains of Northern Region,450000,宮崎地方気象台,011000
460010,薩摩地方,Satsuma Region,460100,鹿児島地方気象台,011000
460020,大隅地方,Osumi Region,460100,鹿児島地方気象台,011000
460030,種子島・屋久島地方,Tanegashima Yakushima Region,460100,鹿児島地方気象台,011000
460040,奄美地方,Amami Region,460040,名瀬測候所,011000
471010,本島中南部,Central and Southern Main Island,471000,沖縄気象台,011100
471020,本島北部,Northern Main Island,471000,沖縄気象台,011100
471030,久米島,Kumejima,471000,沖縄気象台,011100
472000,大東島地方,Daitojima Region,472000,南大東島地方気象台,011100
473000,宮古島地方,Miyakojima Region,473000,宮古島地方気象台,011100
474010,石垣島地方,Ishigakijima Region,474000,石垣島地方気象台,011100
474020,与那国島地方,Yonagunijima Region,474000,石垣島地方気象台,011100
